id,date,effective_date,event,significance,nations_and_indigenous_organizations,governments,companies_and_assets,province_or_territory,region,sector_theme,amount,economic_mechanism,stage,primary_sources,independent_verification,dissent_or_competing_perspective,status_as_of_2026_07_15,next_catalyst,confidence,unresolved_questions
YTD26-011,2026-03-17,2026-03-17,Snuneymuxw First Nation acquired full ownership of the Courtyard by Marriott Nanaimo.,The closed acquisition consolidated ownership of a major hospitality asset within Snuneymuxw's territory and complements the Nation's broader downtown development position.,Snuneymuxw First Nation,,Courtyard by Marriott Nanaimo,British Columbia,Nanaimo | Vancouver Island,hospitality | tourism | commercial real estate | Nation ownership,,asset acquisition | full ownership,transaction closed,Snuneymuxw acquires full ownership of Nanaimo Marriott: https://nanaimobulletin.com/2026/03/17/snuneymuxw-first-nation-acquires-full-ownership-of-courtyard-by-marriott-nanaimo/,,"The purchase consideration, debt, management agreement, and asset-level economics were not public.",Acquisition announced as complete.,Operating results and integration into Snuneymuxw's downtown economic strategy.,medium,What capital structure and return thresholds apply? | How is ownership separated from hotel management and brand obligations?
YTD26-012,2026-03-19,2026-03-19,Hardy Buoys Smoked Fish transitioned to Indigenous ownership in Port Hardy.,"The succession transaction preserves a local processing business and shifts operating ownership, employment, and potential value-added seafood revenue into an Indigenous economic-development platform.",Nuu-chah-nulth Economic Development Corporation,,Hardy Buoys Smoked Fish,British Columbia,Port Hardy | northern Vancouver Island,fisheries | food processing | entrepreneurship | business succession,,business acquisition | ownership transfer,transaction closed,Hardy Buoys transitions to Indigenous ownership: https://www.nedc.info/hardy-buoys-smoked-fish-transitions-to-indigenous-ownership-in-port-hardy/,,"Terms were private, and ownership transition is only the first test. Working capital, supply security, management continuity, and margins will determine durability.",Transaction announced as complete; operating disclosure was limited.,"Evidence of retained employment, new procurement links, growth, and financial performance.",medium,Who ultimately owns and governs the acquisition vehicle? | What fisheries-supply and market advantages can the new owner create?
YTD26-013,2026-03-26,2026-03-26,The First Nations Finance Authority placed a $485-million bond issue.,The issue expanded pooled access to long-term capital at a reported 3.99-per-cent member rate and demonstrated continued institutional demand for the FMA borrowing model.,First Nations Finance Authority | participating First Nations,,,Canada-wide,Canada-wide,capital markets | First Nations fiscal institutions | infrastructure | pooled borrowing,485000000 CAD (bond issue),pooled bond issuance | secured lending,financial close,FNFA secures $485 million: https://fnfa.ca/en/fnfa-secures-485-million/ | FNFA March 2026 term sheet: https://fnfa.ca/wp-content/uploads/2026/06/FNFA-Term-Sheet-June-2035-Re-Opening-March-2026.pdf,,Bond proceeds and member-community draws are related but different measures. Adding both overstates capital deployed. Borrowing capacity also depends on qualifying revenues and governance certification.,Issue closed and allocated to approximately 40 investors; FNFA reported its portfolio above $4.3 billion at issuance.,"Member draws, project deployment, ratings updates, and subsequent issuance.",high,Which uses of proceeds create recurring own-source revenue versus replace grant-funded infrastructure? | How concentrated are pledged revenues and borrower exposures?
YTD26-014,2026-03-26,2026-03-26,"Bill C-15 received Royal Assent, creating the First Nations Goods and Services Tax Act framework.","The opt-in FACT regime gives participating First Nations a legislated route to impose a five-per-cent tax on fuel, alcohol, cannabis, tobacco, and vaping products on reserve or settlement lands. It is real fiscal-jurisdiction architecture, but community laws and administration must still follow.",participating First Nations | First Nations Tax Commission,Government of Canada,,Canada-wide,reserve and settlement lands,tax jurisdiction | First Nations fiscal institutions | legislation | own-source revenue,,tax | opt-in fiscal jurisdiction | revenue administration,legally effective,First Nations Goods and Services Tax Act: https://laws-lois.justice.gc.ca/eng/acts/F-11.7/FullText.html?txthl=acts | Budget 2025 legislation receives Royal Assent: https://www.canada.ca/en/department-finance/news/2026/03/legislation-passes-to-implement-budget-2025-canada-strong.html | Senate committee report on Bill C-15: https://sencanada.ca/en/committees/APPA/Report/149639/45-1,,"The law is optional and narrow. It does not automatically create revenue, and design trade-offs include administration, interaction with existing tax-sharing arrangements, local incidence, and political acceptance.",Federal statute in force. No verified list of First Nations with implemented FACT laws and collections was located by the cutoff.,"First community laws, administration agreements, collection dates, and disclosed revenue results.",high,Which First Nations will opt in and on what subset of products? | What net recurring revenue remains after administration and changes to other tax-sharing arrangements?
YTD26-015,2026-03-26,2026-03-26,The Procurement Ombud reported systemic integrity and accountability failures in federal Indigenous procurement.,"The review weakened confidence in headline claims about the five-per-cent target by finding no central policy or accountability, inconsistent verification, missed mandatory pre-award audits, and weak monitoring of Indigenous delivery.",Indigenous businesses | Canadian Council for Indigenous Business,Office of the Procurement Ombud | Indigenous Services Canada | Public Services and Procurement Canada,,Canada-wide,Canada-wide,procurement | entrepreneurship | policy integrity | economic development,1240000000 CAD (ISC-reported 2023-24 procurement from Indigenous businesses; review found impact may be overstated),procurement | set-aside | supplier verification | audit,implementation,Procurement practice review: https://opo-boa.gc.ca/praapp-prorev/2026/epa-ppr-03-2026-eng.html | Procurement Ombud news release: https://www.canada.ca/en/procurement-ombudsman/news/2026/03/procurement-ombud-calls-for-stronger-indigenous-procurement-policy-to-advance-economic-reconciliation.html | ISC response and program information: https://isc.gc.ca/eng/1746637262900/1746637283564,CCIB response: https://www.globenewswire.com/news-release/2026/03/31/3266134/0/en/Statement-CCIB-Response-to-the-Office-of-the-Procurement-Ombud-s-Procurement-Practice-Review-of-Contracts-Awarded-to-Indigenous-Businesses-Report.html,"Government reported exceeding the five-per-cent target, while the Ombud's evidence showed that reported spend is not equivalent to verified Indigenous economic participation.","Findings published. Departments promised changes, but a fully operating central policy, audit regime, and outcome measure were not demonstrated by the cutoff.","Implementation of strengthened registration, control verification, pre-award audits, subcontracting disclosure, and benefit measurement.",high,"How much reported spending produces verified Indigenous control, employment, and retained margin? | Will reforms protect legitimate joint ventures without enabling pass-through structures?"
YTD26-016,2026-03-30,2026-03-30,The Canadian Human Rights Tribunal approved an $8.5-billion agreement to reform First Nations child and family services in Ontario.,"The agreement is a large, legally supervised service-system reform with material implications for First Nation governance capacity and community infrastructure, although it is not an investment transaction.",Ontario First Nations | First Nations Child and Family Caring Society | Assembly of First Nations,Government of Canada | Canadian Human Rights Tribunal,,Ontario,Ontario,social infrastructure | self-determination | fiscal policy | implementation,8500000000 CAD (reform agreement),program funding | tribunal-approved reform | service transfer,implementation,CHRT approves Ontario reform agreement: https://www.canada.ca/en/indigenous-services-canada/news/2026/03/canadian-human-rights-tribunal-approves-historic-agreement-to-reform-ontario-first-nations-child-and-family-services.html,,"Approval and a large envelope do not prove timely service improvements. Funding design, indexing, governance, workforce, and accountability will determine outcomes.",Tribunal-approved and entering implementation in Ontario.,"Implementation plans, funding flows, service standards, and measured outcomes.",high,How will funding translate into local service capacity? | What precedential effect will the Ontario model have elsewhere?
YTD26-017,2026-04-02,2026-04-02,The B.C. Court of Appeal declared Nuchatlaht Aboriginal title over the full claim area of roughly 210 square kilometres on Nootka Island.,The court rejected an overly site-specific test and reaffirmed a territorial approach to occupation. The decision changes legal risk and negotiation leverage in land and resource decisions within the title area.,Nuchatlaht First Nation,Government of British Columbia,,British Columbia,Nootka Island | west coast of Vancouver Island,Aboriginal title | forestry | land governance | litigation,,declaration of Aboriginal title | jurisdiction | remedy,judgment,"The Nuchatlaht v. British Columbia, 2026 BCCA 137: https://www.canlii.org/en/bc/bcca/doc/2026/2026bcca137/2026bcca137.html",JFK Law analysis of Nuchatlaht: https://jfklaw.ca/bc-court-of-appeal-confirms-aboriginal-title-to-entire-claim-area-in-the-nuchatlaht-v-british-columbia-2026-bcca-137/,"The decision is legally significant but should not be generalized to every title claim. Each claim turns on its evidentiary record, and practical land-use implementation still requires work.",Court of Appeal declaration in force; no verified Supreme Court of Canada leave application was located in this review.,"Implementation, remedies, land and forestry negotiations, or any further appellate filing.",high,How will existing tenures and land-use decisions be reconciled with the declaration? | What fiscal and governance arrangements will operationalize title?
YTD26-018,2026-04-09,,The CRTC opened a consultation on a new Indigenous stream of the Broadband Fund.,"The process could create more accessible capital for Indigenous-led connectivity, but as of the cutoff it was consultation, not awarded funding or deployed infrastructure.",First Nations | Inuit | Métis | Indigenous internet service providers,Canadian Radio-television and Telecommunications Commission,,Canada-wide,"rural, remote, northern, and Indigenous communities",digital infrastructure | broadband | regulation | capital access,,grant program design | regulatory consultation,consultation,Telecom Notice of Consultation CRTC 2026-47: https://crtc.gc.ca/eng/archive/2026/2026-47.htm | Broadband Fund Indigenous stream consultation: https://www.crtc.gc.ca/eng/internet/fnd/appl/tech.htm,,"A dedicated stream may improve fit but does not by itself solve long-term operating economics, procurement capacity, or community ownership of infrastructure and data.",Consultation underway; no awards.,"CRTC decision, program terms, application window, and first awards.",high,Will the stream fund Indigenous ownership or only service to Indigenous communities? | How will affordability and long-term operations be measured?
YTD26-019,2026-04-15,,"B.C. introduced the Kitselas Treaty Act, then deferred further passage to the fall amid neighbouring-Nation concerns.",The pause shows that a negotiated treaty can still face unresolved overlapping-title and implementation questions. Treaty certainty depends on relationships beyond the signatory table.,Kitselas First Nation | Haisla Nation | Lax Kw'alaams Band | Gitxaała Nation,Government of British Columbia | Government of Canada,,British Columbia,Skeena River | north coast,modern treaty | overlapping title | legislation | land governance,,treaty | land transfer | self-government | legislation,legislation introduced,B.C. introduces Kitselas Treaty Act: https://archive.news.gov.bc.ca/releases/news_releases_2024-2028/2026PREM0019-000416.htm | Bill 21 first-reading text: https://lims.leg.bc.ca/pdms/ldp/43rd2nd/1st_read/gov21-1.htm | Haisla Nation statement: https://haisla.ca/haisla-nation-has-released-a-statement-regarding-the-kitselas-treaty-and-the-crowns-treaty-implementation-process/ | Lax Kw'alaams statement: https://laxkwalaams.ca/press-release-government-of-british-columbia-prepares-to-undermine-reconciliation-and-economic-certainty-on-north-coast-of-bc-with-kitselas-treaty-legislation/,Kitselas treaty legislation delayed: https://www.cfnrfm.ca/2026/05/29/121265/,Kitselas and the Crowns present the treaty as a route to self-government and certainty. Neighbouring Nations argue the implementation process could affect their rights and territories without adequate resolution.,Introduced but not enacted; further passage deferred to fall 2026.,Inter-Nation and Crown discussions before the fall legislative session.,high,Can overlap concerns be resolved without reopening core treaty terms? | What legal and economic certainty will exist if implementation proceeds amid continued objections?
YTD26-020,2026-04-24,,"Canada reconfigured the $4-billion urban, rural, and northern Indigenous housing commitment around Build Canada Homes and distinctions-based agreements.","The decision moved away from the previously contemplated National Indigenous Housing Centre. It allocated $1.7 billion through Build Canada Homes, nearly $2 billion through distinctions-based agreements, and up to $300 million through Indigenous Services Canada, but delivery remained to be proven.",First Nations | Inuit | Métis | urban Indigenous housing providers,Government of Canada | Build Canada Homes | Indigenous Services Canada,,Canada-wide,"urban, rural, northern, and distinctions-based geographies",housing | community infrastructure | fiscal policy | implementation,4000000000 CAD (rebalanced federal commitment),capital funding | distinctions-based agreements | housing finance,implementation,"Delivering funding for urban, rural, and northern Indigenous housing: https://www.canada.ca/en/housing-infrastructure-communities/news/2026/04/delivering-on-funding-for-urban-rural-and-northern-indigenous-housing.html",,A reallocated envelope is not a completed home. The governance shift may accelerate some channels while weakening the Indigenous-led centre model sought by parts of the sector.,"Funding architecture announced; project intake, binding agreements, starts, completions, and long-term operating support remained uneven or pending.","Funding agreements, project approvals, starts, completions, and disclosure of Indigenous governance over allocation.",high,How much funding is incremental and contractually committed? | Who controls allocation decisions for urban Indigenous housing?
YTD26-021,2026-05-01,2026-05-01,B.C. signed $283 million of 10-year restoration agreements with seven Treaty 8 First Nations.,"The agreements treat restoration as durable economic infrastructure by funding Nation-led ecological work, employment, training, and stewardship after the Yahey cumulative-effects judgment.",seven Treaty 8 First Nations in northeastern British Columbia | Fort Nelson First Nation | Prophet River First Nation | McLeod Lake Indian Band,Government of British Columbia,,British Columbia,northeastern British Columbia | Treaty 8 territory,restoration economy | stewardship | Treaty rights | employment,283000000 CAD (combined investment over 10 years),long-term funding agreement | procurement | employment | stewardship,implementation,B.C. and Treaty 8 First Nations sign restoration agreements: https://news.gov.bc.ca/releases/2026ECS0011-000494,Province signs $283M of restoration agreements: https://www.cjdctv.com/news/article/province-signs-283m-worth-of-restoration-agreements-with-treaty-8-first-nations-in-northeast-bc/,"Restoration funding responds to accumulated damage but does not itself resolve future development limits, cumulative-effects governance, or the Crown's full Treaty obligations.","Agreements signed, with Nation-specific plans to be developed and monitored through a stewardship forum.","Nation workplans, procurement, jobs, ecological indicators, and interaction with regional land-use decisions.",high,"How is funding allocated among Nations and years? | Which outcomes will be independently measured, and who controls data and procurement?"
YTD26-022,2026-05-04,2026-05-04,The Auditor General found that Indigenous Services Canada had not demonstrated whether new fiscal initiatives with First Nations were improving outcomes.,"The audit challenged the assumption that longer grant terms and reduced reporting automatically equal a functioning new fiscal relationship. It found unfulfilled commitments, incomplete monitoring, and no outcome assessment despite $6.5 billion in 10-year grants through 2024-25.",First Nation grant recipients | First Nations Financial Management Board,Office of the Auditor General of Canada | Indigenous Services Canada,,Canada-wide,Canada-wide,fiscal relationship | First Nations fiscal institutions | governance | audit,"6500000000 CAD (10-year grant funding through 2024-25, audited context rather than a new 2026 commitment)",10-year grants | capacity funding | outcome measurement,implementation,Auditor General: New Fiscal Initiatives with First Nations: https://www.canada.ca/en/auditor-general/our-work/audit-reports/auditor-general-202605-new-fiscal-initiatives-with-first-nations.html?wbdisable=true | Indigenous Services Canada response: https://www.canada.ca/en/indigenous-services-canada/news/2026/05/auditor-general-of-canadas-report-new-fiscal-initiatives-with-first-nations.html,,"Recipients value predictability and reduced administrative burden, and ISC said no First Nation was under active third-party management as of April 1. The audit's point was not that flexibility failed, but that government could not show outcomes or complete its commitments.",Audit recommendations accepted; corrective implementation not yet demonstrated.,"ISC action plan, completed co-development commitments, monitoring quality, and outcome reporting.",high,What measures can demonstrate fiscal autonomy without recreating punitive reporting? | Will capacity funding match the responsibilities transferred?
YTD26-042,2026-05-07,,"NACCA and Alto signed an MOU to connect Indigenous businesses, entrepreneurs, workers, and Indigenous Financial Institutions to Canada's proposed high-speed rail network.","The agreement brings NACCA's network of more than 50 Indigenous Financial Institutions into an early national rail-procurement and workforce framework. It is a pathway to participation, not a contract, equity stake, or construction decision.","National Aboriginal Capital Corporations Association | Indigenous Financial Institutions | potentially affected First Nations, Inuit, and Métis governments and businesses",Government of Canada | Transport Canada,Alto | proposed Toronto-to-Québec City high-speed rail network,Ontario | Quebec,Toronto-to-Québec City corridor,rail | procurement | Indigenous Financial Institutions | workforce | major projects,,MOU | procurement access | business finance | workforce development,MOU,NACCA and Alto sign Indigenous economic participation MOU: https://www.altotrain.ca/en/news/nacca-and-alto-sign-mou-support-indigenous-economic-participation-canadas-high-speed-rail,Transport Canada 2026-27 Indigenous participation funding-program plan: https://tc.canada.ca/en/corporate-services/transparency/corporate-management-reporting/departmental-plans-dp/transport-canada-2026-2027-departmental-plan/2026-2027-details-transfer-payment-programs-under-5-million,"Early engagement can shape procurement and benefits, but an MOU can also remain procedural. The eventual alignment, land effects, consultation, financing, and contract packages will determine whether businesses and rights holders gain durable authority and revenue.","MOU signed during project co-development. No Indigenous equity stake, procurement award, or construction contract was identified by the cutoff.","Corridor and station decisions, Indigenous consultation results, funding-program design, and the first procurement packages or business-finance commitments.",high,Will Indigenous participation include ownership and decision rights or remain focused on procurement and workforce? | How will corridor Nations be engaged before route and land decisions harden?
